antecedente	consequente	numero de pares
GO:0005829	GO:0030018	4820
GO:0030018	GO:0005829	4820
GO:0005829	GO:0030027	4820
GO:0030027	GO:0005829	4820
GO:0005829	GO:0030054	4820
GO:0030054	GO:0005829	4820
GO:0005829	GO:0030424	4820
GO:0030424	GO:0005829	4820
GO:0005829	GO:0030425	4820
GO:0030425	GO:0005829	4820
GO:0005829	GO:0030426	4820
GO:0030426	GO:0005829	4820
GO:0005829	GO:0030496	4820
GO:0030496	GO:0005829	4820
GO:0005829	GO:0031410	4820
GO:0031410	GO:0005829	4820
GO:0031965	GO:0005829	4820
GO:0005829	GO:0031965	4820
GO:0005829	GO:0031982	4820
GO:0031982	GO:0005829	4820
GO:0005829	GO:0032587	4820
GO:0032587	GO:0005829	4820
GO:0005829	GO:0032991	4820
GO:0032991	GO:0005829	4820
GO:0005829	GO:0034774	4820
GO:0034774	GO:0005829	4820
GO:0005829	GO:0036464	4820
GO:0036464	GO:0005829	4820
GO:0042470	GO:0005829	4820
GO:0005829	GO:0042470	4820
GO:0005829	GO:0043005	4820
GO:0043005	GO:0005829	4820
GO:0043025	GO:0005829	4820
GO:0005829	GO:0043025	4820
GO:0005829	GO:0043197	4820
GO:0043197	GO:0005829	4820
GO:0005829	GO:0043231	4820
GO:0043231	GO:0005829	4820
GO:0005829	GO:0043235	4820
GO:0043235	GO:0005829	4820
GO:0005829	GO:0045095	4820
GO:0045095	GO:0005829	4820
GO:0045121	GO:0005829	4820
GO:0005829	GO:0045121	4820
GO:0005829	GO:0045202	4820
GO:0045202	GO:0005829	4820
GO:0005829	GO:0048471	4820
GO:0048471	GO:0005829	4820
GO:0005829	GO:0070062	4820
GO:0070062	GO:0005829	4820
GO:0005829	GO:0098794	4820
GO:0098794	GO:0005829	4820
GO:0005829	GO:0098978	4820
GO:0098978	GO:0005829	4820
GO:0005829	GO:1904813	4820
GO:1904813	GO:0005829	4820
GO:1990904	GO:0005829	4820
GO:0005829	GO:1990904	4820
GO:0005856	GO:0005886	4820
GO:0005886	GO:0005856	4820
GO:0005856	GO:0005925	4820
GO:0005925	GO:0005856	4820
GO:0016020	GO:0005856	4820
GO:0005856	GO:0016020	4820
GO:0070062	GO:0005856	4820
GO:0005856	GO:0070062	4820
GO:0005874	GO:0005886	4820
GO:0005886	GO:0005874	4820
GO:0005887	GO:0005886	4820
GO:0005886	GO:0005887	4820
GO:0005911	GO:0005886	4820
GO:0005886	GO:0005911	4820
GO:0005925	GO:0005886	4820
GO:0005886	GO:0005925	4820
GO:0005938	GO:0005886	4820
GO:0005886	GO:0005938	4820
GO:0009897	GO:0005886	4820
GO:0005886	GO:0009897	4820
GO:0009986	GO:0005886	4820
GO:0005886	GO:0009986	4820
GO:0010008	GO:0005886	4820
GO:0005886	GO:0010008	4820
GO:0014069	GO:0005886	4820
GO:0005886	GO:0014069	4820
GO:0015629	GO:0005886	4820
GO:0005886	GO:0015629	4820
GO:0016020	GO:0005886	4820
GO:0005886	GO:0016020	4820
GO:0016021	GO:0005886	4820
GO:0005886	GO:0016021	4820
GO:0016323	GO:0005886	4820
GO:0005886	GO:0016323	4820
GO:0016324	GO:0005886	4820
GO:0005886	GO:0016324	4820
GO:0016604	GO:0005886	4820
GO:0005886	GO:0016604	4820
GO:0016607	GO:0005886	4820
GO:0005886	GO:0016607	4820
GO:0030027	GO:0005886	4820
GO:0005886	GO:0030027	4820
GO:0030054	GO:0005886	4820
